,256,512,1024,2048,4096
torch,1.5421003751868232,9.624794819292605,18.764400664564107,20.626065800492654,22.95808076743225
naive,1.3165769787363493,1.6380537794806083,2.252407990440016,2.107369753133688,2.067072773074197
shmem,1.8121692153163496,2.3022562291647017,2.975915433061053,2.9268255925619213,2.8577954586635292
shmem_64x64x8_1d,1.2764959155203544,5.507896990696543,7.108734467283115,7.9508291676580045,8.17493002737063
shmem_128x128x8_8x8x1,0.5396602442030588,2.5246438990899804,10.018069848019728,10.7945570448338,13.04587754339108
sgemm_vec_128x128x8_8x8x1,0.6240731392092198,2.634406922038992,10.310598771773194,15.021544258742026,17.01437379690791
sgemm_vec_128x128x8_8x8x1_pad,0.5848217709951642,2.5740255921115214,10.190674673234481,13.22550926459202,15.822295249667086
sgemm_vec_128x128x16_8x8x1_pad,0.6832516507024199,3.0878319520352915,12.45526495445076,14.447574351998167,17.096605833496444
sgemm_warptiling_128x128x16_64x32x1_8x8x1,0.6251526312043326,2.96488900541398,12.236930579131172,15.865437497483258,18.957948792857547
sgemm_warptiling_128x128x16_64x32x1_8x8x1_pad,0.5545921201996094,2.60408087961232,11.294246984647966,14.142191723745574,16.8241339083703
